member_id,unit_id,unit_index,stratum,n_equilibrium_files,signed_mean,standard_deviation,q50,q90,q99,maximum,active_fraction,median_active_positions,median_halfmax_positions,q90_halfmax_positions,s04_shapley_mean_absolute,s04_mean_ablation_rms,s04_shapley_rank
2864601_0.371,2864601_0.371:u009,9,unstable,760,0.2025037556886673,0.8830969333648682,0.0,0.2100791037082672,5.139411458969127,11.173789978027344,0.1180921052631579,0.0,96.0,96.0,0.010524399033398368,0.09313016103977927,15.0
2864601_0.371,2864601_0.371:u010,10,overall,1000,0.09237643331289291,0.577979326248169,0.0,0.0,3.981003463268252,5.7648186683654785,0.03540625,0.0,96.0,96.0,0.01110164277011063,0.06987126916349211,12.0
2864601_0.371,2864601_0.371:u010,10,stable_or_near_floor,240,0.1905374377965927,0.8073393702507019,0.0,0.0,4.560113825798036,5.7648186683654785,0.06931423611111111,0.0,96.0,96.0,0.01110164277011063,0.06987126916349211,12.0
2864601_0.371,2864601_0.371:u010,10,unstable,760,0.06137821078300476,0.47928956151008606,0.0,0.0,2.9557725715637346,5.761966228485107,0.024698464912280702,0.0,96.0,96.0,0.01110164277011063,0.06987126916349211,12.0
2864601_0.371,2864601_0.371:u011,11,overall,1000,0.5901300311088562,1.073988676071167,0.0,1.8815755486488368,4.8932085037231445,10.736674308776855,0.44371875,41.5,44.0,96.0,0.023866607431089506,0.0802420855519502,8.0
2864601_0.371,2864601_0.371:u011,11,stable_or_near_floor,240,0.5483528971672058,0.9828056693077087,0.0,1.637117862701416,4.825117239952087,6.454334735870361,0.4419704861111111,38.0,50.0,96.0,0.023866607431089506,0.0802420855519502,8.0
2864601_0.371,2864601_0.371:u011,11,unstable,760,0.6033228039741516,1.1008864641189575,0.0,1.9530785083770752,4.928922147750872,10.736674308776855,0.44427083333333334,42.0,42.0,96.0,0.023866607431089506,0.0802420855519502,8.0
2864601_0.371,2864601_0.371:u012,12,overall,1000,0.03053288720548153,0.2579183578491211,0.0,0.0,1.1682092714309629,7.41379451751709,0.02603125,0.0,96.0,96.0,0.0022850598917575553,0.014839412330792475,19.0
2864601_0.371,2864601_0.371:u012,12,stable_or_near_floor,240,0.045515935868024826,0.3408699333667755,0.0,0.0,1.572862244844438,7.41379451751709,0.03537326388888889,0.0,96.0,96.0,0.0022850598917575553,0.014839412330792475,19.0
2864601_0.371,2864601_0.371:u012,12,unstable,760,0.0258014015853405,0.22526247799396515,0.0,0.0,1.0060760974884033,6.5039286613464355,0.023081140350877192,0.0,96.0,96.0,0.0022850598917575553,0.014839412330792475,19.0
2864601_0.371,2864601_0.371:u013,13,overall,1000,0.12225043773651123,0.7366297841072083,0.0,0.0,3.5478241443634033,19.091930389404297,0.059208333333333335,0.0,96.0,96.0,0.010788032092503272,0.11146388943825679,14.0
2864601_0.371,2864601_0.371:u013,13,stable_or_near_floor,240,0.05502096936106682,0.35382333397865295,0.0,0.0,2.1011271476745605,6.111151218414307,0.03967013888888889,0.0,96.0,96.0,0.010788032092503272,0.11146388943825679,14.0
2864601_0.371,2864601_0.371:u013,13,unstable,760,0.1434808075428009,0.8201013207435608,0.0,0.0,4.1343793869018555,19.091930389404297,0.06537828947368421,0.0,96.0,96.0,0.010788032092503272,0.11146388943825679,14.0
2864601_0.371,2864601_0.371:u014,14,overall,1000,0.20360101759433746,0.6685201525688171,0.0,0.48178683817386775,3.2386985421180694,7.587844371795654,0.11661458333333333,0.0,96.0,96.0,0.04249473448377103,0.06256161599971981,6.0
2864601_0.371,2864601_0.371:u014,14,stable_or_near_floor,240,0.2887485921382904,0.7697098255157471,0.0,1.3389677286148076,3.4490246772766113,4.286906719207764,0.17026909722222222,0.0,96.0,96.0,0.04249473448377103,0.06256161599971981,6.0
2864601_0.371,2864601_0.371:u014,14,unstable,760,0.1767122745513916,0.630831778049469,0.0,0.0,3.1368560791015625,7.587844371795654,0.09967105263157895,0.0,96.0,96.0,0.04249473448377103,0.06256161599971981,6.0
2864601_0.371,2864601_0.371:u015,15,overall,1000,3.143476963043213,2.795666456222534,2.497523784637451,6.892636489868165,11.935784063339222,23.688535690307617,0.9246666666666666,96.0,95.0,96.0,0.09937077105406206,0.34580143006219816,4.0
2864601_0.371,2864601_0.371:u015,15,stable_or_near_floor,240,3.7085161209106445,2.9089550971984863,3.077950119972229,8.003131484985357,11.876648569107056,14.729527473449707,0.9579861111111111,96.0,96.0,96.0,0.09937077105406206,0.34580143006219816,4.0
2864601_0.371,2864601_0.371:u015,15,unstable,760,2.965043067932129,2.7347772121429443,2.321171760559082,6.254134178161621,11.966906547546387,23.688535690307617,0.9141447368421053,96.0,93.0,96.0,0.09937077105406206,0.34580143006219816,4.0
2864601_0.371,2864601_0.371:u016,16,overall,1000,0.0611167848110199,0.41548582911491394,0.0,0.0,2.0314223766326904,8.303481101989746,0.039760416666666666,0.0,96.0,96.0,0.00615463945560623,0.04241186719462403,17.0
2864601_0.371,2864601_0.371:u016,16,stable_or_near_floor,240,0.03420810028910637,0.3059321939945221,0.0,0.0,1.1001931214332663,7.502740383148193,0.02443576388888889,0.0,96.0,96.0,0.00615463945560623,0.04241186719462403,17.0
2864601_0.371,2864601_0.371:u016,16,unstable,760,0.06961426138877869,0.4441685676574707,0.0,0.0,2.193415455818186,8.303481101989746,0.04459978070175439,0.0,96.0,96.0,0.00615463945560623,0.04241186719462403,17.0
2864601_0.371,2864601_0.371:u017,17,overall,1000,3.1429970264434814,2.759829521179199,2.6833858489990234,6.731513500213623,11.496605796813931,24.621646881103516,0.87075,96.0,96.0,96.0,0.4628562823567772,0.6365244671852992,1.0
2864601_0.371,2864601_0.371:u017,17,stable_or_near_floor,240,2.315840005874634,2.251220941543579,1.8463202118873596,5.22865047454834,10.15486981391907,11.585325241088867,0.8019965277777777,96.0,96.0,96.0,0.4628562823567772,0.6365244671852992,1.0
2864601_0.371,2864601_0.371:u017,17,unstable,760,3.4042046070098877,2.8525795936584473,2.9344398975372314,7.039513540267947,12.090536117553711,24.621646881103516,0.8924616228070176,96.0,96.0,96.0,0.4628562823567772,0.6365244671852992,1.0
2864601_0.371,2864601_0.371:u018,18,overall,1000,0.4460926055908203,1.020514726638794,0.0,1.5731526613235474,4.754185242652886,13.233746528625488,0.31535416666666666,26.0,33.0,96.0,0.012307873335201292,0.05134478746302731,11.0
2864601_0.371,2864601_0.371:u018,18,stable_or_near_floor,240,0.41982346773147583,0.9211148023605347,0.0,1.3853730082511904,4.517096447944645,8.170755386352539,0.3391927083333333,23.0,35.5,96.0,0.012307873335201292,0.05134478746302731,11.0
2864601_0.371,2864601_0.371:u018,18,unstable,760,0.4543881118297577,1.0498143434524536,0.0,1.6359071016311721,4.86233377456665,13.233746528625488,0.3078262061403509,26.5,33.0,96.0,0.012307873335201292,0.05134478746302731,11.0
2864601_0.371,2864601_0.371:u019,19,overall,1000,0.9759125113487244,1.6726816892623901,0.0,3.7067739486694338,6.921143879890439,8.04776668548584,0.4251770833333333,24.0,96.0,96.0,0.1407468033817131,0.16310346032362213,3.0
2864601_0.371,2864601_0.371:u019,19,stable_or_near_floor,240,1.5170135498046875,1.9988707304000854,0.5080890357494354,4.727004575729371,7.286206789016729,8.04776668548584,0.5732638888888889,79.5,96.0,96.0,0.1407468033817131,0.16310346032362213,3.0
2864601_0.371,2864601_0.371:u019,19,unstable,760,0.8050385117530823,1.5159190893173218,0.0,3.0521822452545178,6.468579292297363,7.738170623779297,0.37841282894736844,12.0,96.0,96.0,0.1407468033817131,0.16310346032362213,3.0
2864601_0.371,2864601_0.371:u020,20,overall,1000,0.5124319791793823,0.9856837391853333,0.0,1.9626973748207124,4.112473964691162,16.63348388671875,0.3403125,21.5,36.0,96.0,0.021510740135796368,0.11900625449192404,10.0
2864601_0.371,2864601_0.371:u020,20,stable_or_near_floor,240,0.5127816796302795,0.980528712272644,0.0,1.9325103759765625,4.112677865028382,9.060416221618652,0.349609375,17.5,41.0,96.0,0.021510740135796368,0.11900625449192404,10.0
2864601_0.371,2864601_0.371:u020,20,unstable,760,0.5123215317726135,0.9873061180114746,0.0,1.9735256195068374,4.108522415161133,16.63348388671875,0.3373766447368421,22.0,35.0,96.0,0.021510740135796368,0.11900625449192404,10.0
2864601_0.371,2864601_0.371:u021,21,overall,1000,0.27540501952171326,0.7365453839302063,0.0,1.0168042302131661,3.5561197900771924,10.610289573669434,0.23927083333333332,21.0,20.0,96.0,0.010809966596774757,0.039064764776326796,13.0
2864601_0.371,2864601_0.371:u021,21,stable_or_near_floor,240,0.22981105744838715,0.627733051776886,0.0,0.8566452860832214,2.993675947189331,6.663157939910889,0.21770833333333334,16.5,20.0,96.0,0.010809966596774757,0.039064764776326796,13.0
2864601_0.371,2864601_0.371:u021,21,unstable,760,0.289803147315979,0.7671469449996948,0.0,1.06571000814438,3.7430674147606,10.610289573669434,0.24608004385964913,22.0,20.0,96.0,0.010809966596774757,0.039064764776326796,13.0
