member_id,filter_index,channel_index,channel_name,kernel_width,dc_amplitude,peak_frequency_index,spectral_centroid,kernel_l1,kernel_l2
2864601_0.437,23,1,gbdrift,13,0.972159187309444,16,18.4589000415349,2.4310154914855957,0.8356840014457703
2864601_0.437,23,2,cvdrift,13,0.979208966717124,13,20.626208493399087,2.8402676582336426,0.9308810234069824
2864601_0.437,23,3,gbdrift0_over_shat,13,0.5551728513091803,6,15.445443425682754,4.138270854949951,1.3273683786392212
2864601_0.437,23,4,gds2,13,0.14045023173093796,32,22.68332340307963,0.7324435710906982,0.24231934547424316
2864601_0.437,23,5,gds21_over_shat,13,0.024788590148091316,20,24.331309174838342,1.3123960494995117,0.4430530071258545
2864601_0.437,23,6,gds22_over_shat_squared,13,1.0250374842435122,6,14.59542053651014,1.7697707414627075,0.6142417192459106
2864601_0.437,24,0,bmag,13,0.2205953449010849,7,14.831380355395126,1.6792418956756592,0.5038920640945435
2864601_0.437,24,1,gbdrift,13,1.7346978560090065,0,13.334371819779994,2.6047492027282715,0.9001343846321106
2864601_0.437,24,2,cvdrift,13,2.1568381870165467,0,14.114095040758615,2.5467777252197266,0.8952648639678955
2864601_0.437,24,3,gbdrift0_over_shat,13,0.8220905177295208,13,19.031227449778203,2.5736327171325684,0.8383278846740723
2864601_0.437,24,4,gds2,13,0.48756520450115204,14,22.211314471642773,1.140618920326233,0.36797067523002625
2864601_0.437,24,5,gds21_over_shat,13,0.37245693802833557,8,15.883301373691907,3.1673531532287598,0.9411393404006958
2864601_0.437,24,6,gds22_over_shat_squared,13,0.30302318651229143,0,23.268121580213048,0.665568470954895,0.2067273110151291
2864601_0.437,25,0,bmag,13,0.9661550261080265,4,12.163137399284839,1.4104578495025635,0.4494365155696869
2864601_0.437,25,1,gbdrift,13,0.7406901828944683,14,15.400247294301714,2.9133760929107666,0.9598270058631897
2864601_0.437,25,2,cvdrift,13,0.8938574157655239,12,15.7223988745171,3.1267688274383545,1.0407963991165161
2864601_0.437,25,3,gbdrift0_over_shat,13,4.957172658294439,0,15.110615153033006,5.070124626159668,1.7071006298065186
2864601_0.437,25,4,gds2,13,0.3727939969394356,35,24.99067568140998,0.6722869277000427,0.22896941006183624
2864601_0.437,25,5,gds21_over_shat,13,2.037521884776652,0,17.05226178108189,2.0375218391418457,0.636542558670044
2864601_0.437,25,6,gds22_over_shat_squared,13,0.138125978410244,48,28.960324611487636,0.8157249689102173,0.2397438883781433
2864601_0.437,26,0,bmag,13,0.05079294694587588,12,21.549972998620415,0.8884550333023071,0.2990521788597107
2864601_0.437,26,1,gbdrift,13,0.9704197878018022,9,20.04964549456564,3.076899528503418,1.0369421243667603
2864601_0.437,26,2,cvdrift,13,5.372415695339441,0,12.051305560155088,5.734715938568115,1.8193849325180054
2864601_0.437,26,3,gbdrift0_over_shat,13,3.882509005255997,0,13.46415791169632,4.648610591888428,1.4396055936813354
2864601_0.437,26,4,gds2,13,0.2466895328834653,17,25.356458398881347,0.78266441822052,0.3030065894126892
2864601_0.437,26,5,gds21_over_shat,13,0.23766381631139666,23,19.54005540224594,1.601619839668274,0.5320711135864258
2864601_0.437,26,6,gds22_over_shat_squared,13,0.21618992928415537,12,22.740731948464568,1.1870691776275635,0.37676867842674255
2864601_0.437,27,0,bmag,13,0.7009593835100532,0,19.35533595965346,0.992339551448822,0.314919650554657
2864601_0.437,27,1,gbdrift,13,0.17791028413921595,10,25.10333293724324,0.7586957216262817,0.23971711099147797
2864601_0.437,27,2,cvdrift,13,0.2248880293482216,10,23.940661638750175,0.5853703618049622,0.19491492211818695
