entity,entity_type,gradient_set,stratum,n,transform,mean_signed_change,mean_absolute_change,rms_change,max_absolute_change,relative_l2_change,original_reference_residual_std,rms_change_over_residual_std
2864601_0.487,member,fixed,unstable,977,stellarator_parity,0.0003238593894481171,0.020855740055884163,0.04982256449400986,0.6888628602027893,0.021656993110409754,,
2864601_0.487,member,fixed,unstable,977,plain_reversal_control,-0.11844815428205742,0.2846447145042058,0.37964687080268544,1.9235110878944397,0.16502582211220593,,
2864601_0.272,member,varied,all,1000,stellarator_parity,0.006452151350677013,0.028727729238569737,0.060283242362105374,0.6007742285728455,0.02914577311571858,0.2604748237177358,0.23143596567870783
2864601_0.272,member,varied,all,1000,plain_reversal_control,-0.025922307424247264,0.31039964900165795,0.5300223440747975,4.6844751834869385,0.25625547633741863,0.2604748237177358,2.034831376444879
2864601_0.272,member,varied,stable_near_floor,240,stellarator_parity,0.004675348848104477,0.009645069887240728,0.031744997230439734,0.2751901149749756,0.016505482297784268,0.15853925582961478,0.200234301998722
2864601_0.272,member,varied,stable_near_floor,240,plain_reversal_control,0.03827657469858726,0.09140404084076484,0.24677845364782686,1.7534154653549194,0.1283098993076321,0.15853925582961478,1.556576334085007
2864601_0.272,member,varied,unstable,760,stellarator_parity,0.007013246877805183,0.034753832191621,0.06680894347916565,0.6007742285728455,0.03163200093095745,0.29596198377487676,0.22573488198397743
2864601_0.272,member,varied,unstable,760,plain_reversal_control,-0.04619563862093185,0.37955615684194,0.5919501445647661,4.6844751834869385,0.2802703732291818,0.29596198377487676,2.000088447221088
2864601_0.272,member,fixed,all,1000,stellarator_parity,0.008943026006221771,0.024282816648483276,0.06090287041757429,0.979131817817688,0.0264187387090747,,
2864601_0.272,member,fixed,all,1000,plain_reversal_control,-0.03190957787632942,0.2595712221264839,0.352817329709077,2.0427507162094116,0.15304679043383596,,
2864601_0.272,member,fixed,stable_near_floor,23,stellarator_parity,0.01014703253041143,0.012012854866359545,0.022495268520644724,0.07338988780975342,0.011476205885938664,,
2864601_0.272,member,fixed,stable_near_floor,23,plain_reversal_control,0.25038958891578345,0.26212421966635663,0.4479373862384967,1.2288272380828857,0.22852012918914402,,
2864601_0.272,member,fixed,unstable,977,stellarator_parity,0.008914681942704512,0.024571669382351082,0.061518824636972,0.979131817817688,0.0265993422247533,,
2864601_0.272,member,fixed,unstable,977,plain_reversal_control,-0.03855531056437302,0.259511120853795,0.3502669933490077,2.0427507162094116,0.151447490765718,,
2864601_0.404,member,varied,all,1000,stellarator_parity,0.0028359402976930142,0.030022381216287614,0.05749426197689016,0.4781949818134308,0.027734455625024242,0.26583284910859684,0.21627974936010583
2864601_0.404,member,varied,all,1000,plain_reversal_control,-0.21493134141154588,0.3625338102225214,0.5605375744362096,3.275650978088379,0.2703957568949849,0.26583284910859684,2.108609136590269
2864601_0.404,member,varied,stable_near_floor,240,stellarator_parity,0.004926047225793203,0.014036970337231953,0.04060732282089045,0.29372668266296387,0.02119417557703518,0.17882574664278417,0.22707760813663014
2864601_0.404,member,varied,stable_near_floor,240,plain_reversal_control,-0.006978470707933108,0.09663488206764062,0.2367588084923361,1.8684905171394348,0.12357149912908702,0.17882574664278417,1.323963763256512
2864601_0.404,member,varied,unstable,760,stellarator_parity,0.0021759065309245335,0.03507040570441045,0.061876798647585045,0.4781949818134308,0.029184295767028298,0.2979052747578383,0.20770628750324596
2864601_0.404,member,varied,unstable,760,plain_reversal_control,-0.2806006690021604,0.44650189279774694,0.6290649246251163,3.275650978088379,0.29669952580262104,0.2979052747578383,2.11162734576107
2864601_0.404,member,fixed,all,1000,stellarator_parity,0.004349856603890657,0.021476353723555802,0.04230618046153127,0.4616420567035675,0.01830348171259261,,
2864601_0.404,member,fixed,all,1000,plain_reversal_control,-0.2187365361303091,0.3185942416600883,0.4177459554386714,2.79685115814209,0.1807349510749119,,
2864601_0.404,member,fixed,stable_near_floor,23,stellarator_parity,0.003422788951707923,0.011942034182341202,0.02897721841314002,0.12712788581848145,0.014834744521607001,,
2864601_0.404,member,fixed,stable_near_floor,23,plain_reversal_control,0.08991717773935069,0.102608323097229,0.18919761775416633,0.676584005355835,0.09685879035949801,,
2864601_0.404,member,fixed,unstable,977,stellarator_parity,0.004371681123849923,0.021700805463011213,0.042569712636142516,0.4616420567035675,0.01835584779858431,,
2864601_0.404,member,fixed,unstable,977,plain_reversal_control,-0.22600269316101756,0.3236788641032262,0.4216364052567933,2.79685115814209,0.18180751529586156,,
2864601_0.274,member,varied,all,1000,stellarator_parity,0.0026816885247826576,0.03218393669277429,0.06345952827090924,0.6807678639888763,0.03039910970748488,0.26905587462327796,0.23586003598606764
